0.00062499	49.996
0.00189618	49.9824
0.00321052	49.9606
0.00456946	49.9365
0.00597452	49.9146
0.00742728	49.8957
0.00892933	49.8789
0.0104824	49.8637
0.0120881	49.8503
0.0137484	49.8386
0.0154649	49.8285
0.0172398	49.8197
0.0190749	49.8123
0.0209723	49.8059
0.022934	49.8006
0.0249624	49.7961
0.0270596	49.7922
0.0292279	49.7887
0.0314699	49.7854
0.0337879	49.7822
0.0361847	49.7787
0.0386627	49.7747
0.0412249	49.7697
0.043874	49.7634
0.0466131	49.7547
0.049445	49.7423
0.0523732	49.724
0.0554007	49.6961
0.0585309	49.6532
0.0617674	49.5872
0.0651137	49.4855
0.0685736	49.3299
0.0721509	49.0959
0.0758497	48.757
0.079674	48.294
0.083628	47.7042
0.0877163	47.0018
0.0919433	46.2106
0.0963138	45.3553
0.100833	44.4579
0.105505	43.5355
0.110336	42.6013
0.11533	    41.6649
0.120494	40.7335
0.125834	39.8123
0.131355	38.905
0.137063	38.0144
0.142965	37.1422
0.149067	36.2898
0.155376	35.4581
0.161899	34.6474
0.168644	33.8581
0.175618	33.09
0.182828	32.343
0.190283	31.6169
0.197991	30.9113
0.205961	30.2256
0.214201	29.5594
0.222721	28.9122
0.23153	    28.2834
0.240638	27.6725
0.250055	27.0788
0.259791	26.5018
0.269859	25.941
0.280267	25.3957
0.291029	24.8655
0.302157	24.3497
0.313662	23.848
0.325557	23.3598
0.337857	22.8846
0.350573	22.4219
0.363721	21.9713
0.377316	21.5325
0.391372	21.1049
0.405905	20.6881
0.420931	20.2819
0.436467	19.8858
0.45253	    19.4996
0.469139	19.1228
0.486311	18.7551
0.504066	18.3963
0.522424	18.046
0.541405	17.7041
0.56103	    17.3701
0.581321	17.0439
0.6023	    16.7252
0.623992	16.4138
0.64642	    16.1094
0.669609	15.8118
0.693585	15.5209
0.718375	15.2365
0.744006	14.9583
0.770507	14.6866
0.797908	14.4209
0.826238	14.163
0.85553	    13.9106
0.885816	13.6728
0.91713	    13.4349
0.949507	13.247
0.982983	12.9947
