0.235	0.100945
0.21999	0.0888847
0.206118	0.0665182
0.193284	0.0456508
0.181401	0.026116
0.170386	0.00781206
0.160165	-0.0093483
0.150671	-0.0254527
0.141842	-0.0405859
0.133622	-0.0548243
0.125958	-0.0682367
0.118805	-0.0808863
0.112118	-0.0928313
0.10586	-0.104125
0.0999941	-0.114818
0.0944878	-0.124951
0.0893116	-0.134537
0.0844382	-0.143377
0.0798428	-0.151726
0.0755028	-0.159625
0.0713976	-0.144322
0.0675083	0.00109497
0.0638176	0.335969
0.0603098	0.81589
0.0569704	1.40507
0.0537865	2.08227
0.0507459	2.83318
0.0478377	3.64723
0.0450518	4.51602
0.0423792	5.43247
0.0398114	6.3903
0.0373407	7.38379
0.0349603	8.4075
0.0326635	9.45613
0.0304447	10.5244
0.0282983	11.607
0.0262196	12.6984
0.024204	13.7926
0.0222474	14.8833
0.020346	15.9636
0.0184963	17.0259
0.0166467	18.0894
0.014797	19.141
0.0129474	20.1648
0.0110977	21.1408
0.0092481	22.0449
0.00739847	22.8485
0.00554884	23.5204
0.00369922	24.0291
0.00184961	24.3472
0	24.4545
